DOG BREED REPORT
                              name life_span                                                                   temperament                                                  origin              breed_group                         weight                       height
                       Bullmastiff       7-9                  Loyal, protective, calm, courageous, affectionate, confident                                                 England                  Working     Male: 50-59; Female: 45-54   Male: 64-69; Female: 61-66
                     Cairn Terrier      None                Alert, confident, friendly, intelligent, courageous, energetic                                                Scotland                  Terrier       Male: 6-7.5; Female: 6-7   Male: 25-28; Female: 24-27
                        Cane Corso      9-12                       Confident, protective, intelligent, loyal, affectionate                                                   Italy                  Working     Male: 45-50; Female: 40-45   Male: 64-70; Female: 60-66
              Cardigan Welsh Corgi     12-15                            Affectionate, loyal, intelligent, alert, adaptable                                    Cardiganshire, Wales                  Herding     Male: 14-17; Female: 11-15                        27-32
             Catahoula Leopard Dog     10-14          Independent, intelligent, loyal, protective, energetic, work-focused                                Louisiana, United States                  Herding     Male: 29-41; Female: 23-29   Male: 56-66; Female: 51-61
            Caucasian Shepherd Dog     10-12                         Protective, independent, confident, courageous, alert                                      Caucasus Mountains                  Working     Male: 50-77; Female: 45-68   Male: 68-76; Female: 64-71
     Cavalier King Charles Spaniel     12-15           Affectionate, gentle, friendly, playful, eager to please, adaptable                                          United Kingdom                      Toy                            6-8                        30-33
          Chesapeake Bay Retriever     10-13                         Intelligent, courageous, loyal, protective, confident                                 Maryland, United States                 Sporting     Male: 29-36; Female: 25-32   Male: 58-66; Female: 53-61
                   Chinese Crested      None                     Affectionate, alert, playful, lively, intelligent, gentle                                                   China                      Toy                        3.6-5.4                        28-33
                  Chinese Shar-Pei      8-12                      Loyal, independent, calm, alert, protective, intelligent                                                   China             Non-Sporting                          20-27                        46-51
                           Chinook     12-15                         Intelligent, calm, devoted, friendly, eager to please                            New Hampshire, United States                  Working     Male: 25-41; Female: 23-32   Male: 58-66; Female: 53-64
                         Chow Chow      8-12                            Loyal, independent, aloof, alert, calm, protective                                                   China             Non-Sporting                          20-32                        43-51
                   Clumber Spaniel     10-12                                     Gentle, loyal, calm, intelligent, playful                                                 England                 Sporting     Male: 32-39; Female: 25-32   Male: 43-51; Female: 43-48
                    Cocker Spaniel     10-14                        Friendly, affectionate, playful, intelligent, outgoing                                           United States                 Sporting      Male: 11-14; Female: 9-11   Male: 34-39; Female: 32-37
           American Cocker Spaniel     10-14                                  Gentle, smart, happy, outgoing, affectionate                                           United States                 Sporting      Male: 11-14; Female: 9-11   Male: 37-39; Female: 34-37
                   Coton de Tulear      None         Happy, playful, affectionate, alert, friendly, intelligent, adaptable                                              Madagascar             Non-Sporting       Male: 4-7; Female: 3.5-6   Male: 25-28; Female: 23-25
                         Dalmatian     11-13                             Energetic, outgoing, intelligent, alert, athletic                                       Dalmatia, Croatia             Non-Sporting     Male: 25-32; Female: 20-27   Male: 58-61; Female: 56-58
                 Doberman Pinscher     10-12                               Intelligent, alert, loyal, energetic, confident                                                 Germany                  Working     Male: 34-45; Female: 27-41   Male: 66-71; Female: 61-66
                    Dogo Argentino      9-15              Courageous, loyal, protective, confident, intelligent, energetic                                               Argentina                  Working     Male: 40-45; Female: 40-43   Male: 61-67; Female: 61-65
                    Dutch Shepherd     11-14     Intelligent, loyal, alert, energetic, athletic, work-focused, independent                                             Netherlands                  Herding     Male: 23-34; Female: 19-30   Male: 57-64; Female: 55-61
                    English Setter     12-14                        Friendly, gentle, affectionate, intelligent, energetic                                                 England                 Sporting     Male: 29-36; Female: 20-32   Male: 64-69; Female: 58-64
                  English Shepherd     12-15                      Intelligent, loyal, energetic, alert, devoted, adaptable                                           United States                  Herding     Male: 20-27; Female: 16-23   Male: 48-58; Female: 46-56
          English Springer Spaniel     12-14                    Friendly, intelligent, energetic, eager to please, playful                                                 England                 Sporting     Male: 20-25; Female: 16-23   Male: 48-53; Female: 46-51
              King Charles Spaniel     10-12                   Gentle, affectionate, intelligent, friendly, happy, playful                                                 England                      Toy                        3.6-6.3                        23-28
 English Toy Terrier (Black & Tan)     12-13                                            Alert, intelligent, loyal, playful                                                 England                      Toy                        2.7-3.6                        25-30
                          Eurasier     12-14                         Calm, confident, loyal, intelligent, gentle, reserved                                                 Germany             Non-Sporting     Male: 23-32; Female: 18-26   Male: 52-60; Female: 48-56
                     Field Spaniel     12-13                          Docile, intelligent, affectionate, gentle, sensitive                                                 England                 Sporting                          16-23                        43-46
                  Finnish Lapphund     12-15              Friendly, alert, intelligent, calm, courageous, loyal, adaptable                                       Lapland (Finland)                  Herding                          15-24   Male: 46-53; Female: 41-49
                     Finnish Spitz     12-15                Friendly, alert, intelligent, independent, playful, courageous                                                 Finland             Non-Sporting      Male: 11-15; Female: 9-13 Male: 44.5-51; Female: 39-46
                    French Bulldog     10-12                                Affectionate, playful, alert, adaptable, smart                                                  France             Non-Sporting                           7-13                        28-33
                   German Pinscher     12-14                   Alert, courageous, intelligent, energetic, confident, loyal                                                 Germany                  Working                          11-20                        43-51
                   German Shepherd      9-13                         Confident, courageous, intelligent, loyal, protective                                                 Germany                  Herding     Male: 29-41; Female: 23-32   Male: 61-66; Female: 56-61
        German Shorthaired Pointer     10-12                   Friendly, intelligent, energetic, eager to please, athletic                                                 Germany                 Sporting     Male: 25-32; Female: 20-27   Male: 58-64; Female: 53-58
                   Giant Schnauzer     12-15                   Loyal, intelligent, alert, energetic, courageous, confident                                                 Germany                  Working     Male: 27-39; Female: 25-34   Male: 65-70; Female: 60-65
             Glen of Imaal Terrier     10-15                              Courageous, gentle, loyal, intelligent, spirited                  Glen of Imaal, County Wicklow, Ireland                  Terrier     Male: 15-18; Female: 14-18                        32-36
                  Golden Retriever     10-12             Friendly, intelligent, devoted, confident, loyal, eager to please                                                Scotland                 Sporting     Male: 29-34; Female: 25-29   Male: 58-61; Female: 55-57
                     Gordon Setter     12-13           Confident, loyal, affectionate, intelligent, eager to please, alert                                                Scotland                 Sporting     Male: 25-36; Female: 20-32   Male: 61-69; Female: 58-66
                        Great Dane      7-10                              Friendly, gentle, confident, loyal, affectionate                                                 Germany                  Working     Male: 64-79; Female: 50-64   Male: 76-81; Female: 71-76
             Pyrenean Mountain Dog     10-12                       Gentle, confident, protective, independent, calm, loyal                              Pyrenees Mountains, France                  Working     Male: 45-73; Female: 39-52   Male: 69-81; Female: 63-74
                         Greyhound     10-13                          Gentle, calm, intelligent, affectionate, independent                               Ancient Egypt/Middle East                    Hound     Male: 29-32; Female: 27-29   Male: 71-76; Female: 68-71
                           Harrier     12-15                            Friendly, outgoing, energetic, intelligent, gentle                                                 England                    Hound                          20-27                        48-53
                          Havanese      None             Outgoing, intelligent, friendly, playful, affectionate, adaptable                                                    Cuba                      Toy                            3-6                        22-29
                      Irish Setter     12-15             Friendly, outgoing, energetic, intelligent, playful, affectionate                                                 Ireland                 Sporting     Male: 27-34; Female: 24-29   Male: 66-74; Female: 61-69
                     Irish Terrier      None                           Courageous, loyal, intelligent, energetic, spirited                                                 Ireland                  Terrier     Male: 11-13; Female: 11-12   Male: 46-48; Female: 43-48
                   Irish Wolfhound       6-8                                    Gentle, calm, dignified, courageous, loyal                                                 Ireland                    Hound     Male: 64-82; Female: 52-64   Male: 81-89; Female: 76-84
                 Italian Greyhound      None                             Affectionate, gentle, playful, alert, intelligent                                                   Italy                      Toy                          3-6.5                        33-38
                     Japanese Chin     10-12                  Alert, intelligent, affectionate, independent, playful, calm                                             China/Japan                      Toy                          1.8-5                        20-28
                    Japanese Spitz     12-16                    Intelligent, playful, alert, loyal, affectionate, friendly                                                   Japan             Non-Sporting      Male: 5-11; Female: 4.5-9                        30-39
                          Keeshond     12-15                       Friendly, intelligent, outgoing, alert, eager to please                                             Netherlands             Non-Sporting                          16-20   Male: 43-48; Female: 41-46
                          Komondor     10-12                              Loyal, protective, independent, courageous, calm                                                 Hungary                  Working     Male: 45-59; Female: 36-50   Male: 70-80; Female: 65-70
                     Kooikerhondje     12-15                  Friendly, intelligent, alert, energetic, cheerful, adaptable                                             Netherlands                 Sporting                           9-14   Male: 38-43; Female: 36-41
                            Kuvasz     10-12                 Loyal, protective, independent, courageous, intelligent, calm                                                 Hungary                  Working     Male: 45-52; Female: 32-41   Male: 71-76; Female: 66-71
                Labrador Retriever     10-12           Friendly, outgoing, energetic, intelligent, gentle, eager to please                                    Newfoundland, Canada                 Sporting     Male: 29-36; Female: 25-32   Male: 57-62; Female: 55-60
                 Lagotto Romagnolo      None              Affectionate, intelligent, energetic, loyal, alert, work-focused                                   Romagna region, Italy                 Sporting     Male: 13-16; Female: 11-14   Male: 43-48; Female: 41-46
                 Lancashire Heeler     12-15                  Intelligent, alert, energetic, friendly, playful, courageous                                     Lancashire, England                  Herding                            4-8                        25-30
                        Leonberger       7-9                         Gentle, calm, loyal, friendly, intelligent, confident                                       Leonberg, Germany                  Working     Male: 50-77; Female: 41-64   Male: 71-80; Female: 65-75
                        Lhasa Apso     12-15                       Confident, independent, alert, loyal, smart, protective                                                   Tibet             Non-Sporting Male: 5.4-8.2; Female: 5.0-8.2   Male: 25-28; Female: 23-28
                           Maltese     12-15           Playful, gentle, affectionate, charming, fearless, alert, adaptable                              Malta, Mediterranean Basin                      Toy                        1.8-3.2                        18-23
       Miniature American Shepherd     12-13         Intelligent, energetic, devoted, loyal, eager to please, work-focused                                           United States                  Herding                           9-18   Male: 36-46; Female: 33-43
                Miniature Pinscher     12-16                Energetic, alert, confident, intelligent, courageous, fearless                                                 Germany                      Toy                        3.5-4.5                        25-32
               Miniature Schnauzer     12-15                             Friendly, intelligent, alert, outgoing, energetic                                                 Germany                  Terrier                            5-9   Male: 30-36; Female: 28-36
                      Newfoundland      9-10                                     Gentle, loyal, devoted, calm, intelligent                                    Newfoundland, Canada                  Working     Male: 59-68; Female: 45-54   Male: 71-76; Female: 66-71
                   Norfolk Terrier     12-16                           Alert, courageous, affectionate, energetic, playful                                        Norfolk, England                  Terrier                          5-5.5                        23-25
                   Norwich Terrier     12-15                          Alert, energetic, affectionate, courageous, outgoing                                    East Anglia, England                  Terrier                          5-5.5                        23-25
Nova Scotia Duck Tolling Retriever     12-14                Intelligent, energetic, playful, outgoing, alert, affectionate                                     Nova Scotia, Canada                 Sporting                          16-23   Male: 46-53; Female: 43-51
              Old English Sheepdog     10-12                         Intelligent, gentle, playful, adaptable, affectionate                                                 England                  Herding     Male: 32-45; Female: 27-39   Male: 56-61; Female: 53-56
            Olde English Bulldogge      9-14                                 Confident, courageous, alert, friendly, loyal                                           United States Foundation Stock Service     Male: 27-36; Female: 23-32   Male: 43-51; Female: 41-48
                          Papillon      None                                Friendly, intelligent, alert, energetic, happy                                      France and Belgium                      Toy                          2-4.5                        20-28
                         Pekingese     12-14                Loyal, independent, confident, courageous, affectionate, alert                                                   China                      Toy                        3.2-6.4                        15-23
              Pembroke Welsh Corgi     12-13                           Intelligent, affectionate, alert, outgoing, playful                                    Pembrokeshire, Wales                  Herding     Male: 12-14; Female: 11-13                        25-30
                     Presa Canario      9-11                   Confident, calm, protective, intelligent, loyal, courageous                                   Canary Islands, Spain                  Working     Male: 50-59; Female: 39-50   Male: 58-66; Female: 56-64
                     Pharaoh Hound     12-14                           Intelligent, friendly, playful, alert, affectionate                                                   Malta                    Hound                          20-25   Male: 58-64; Female: 53-61
                       Plott Hound     12-14                                Loyal, alert, courageous, intelligent, devoted                           North Carolina, United States                    Hound     Male: 23-27; Female: 18-25   Male: 51-64; Female: 51-58
                        Pomeranian     12-16                              Alert, intelligent, playful, confident, outgoing      Pomerania region (now parts of Germany and Poland)                      Toy                        1.4-3.2                        15-18
                Poodle (Miniature)     12-16                       Intelligent, alert, playful, confident, eager to please                                                 Germany             Non-Sporting                        4.5-6.8                        25-38
                      Poodle (Toy)     10-18         Intelligent, alert, confident, playful, affectionate, loyal, outgoing                                                 Germany                      Toy                        1.8-2.7                        20-25
                               Pug      None                          Affectionate, playful, friendly, charming, adaptable                                                   China                      Toy                            6-8                        25-33
                              Puli     10-16                        Intelligent, energetic, loyal, alert, devoted, playful                                                 Hungary                  Herding   Male: 13.5-16; Female: 11-14   Male: 40-44; Female: 37-41
                              Pumi     12-13                      Intelligent, energetic, alert, playful, loyal, confident                                                 Hungary                  Herding                          10-13   Male: 41-47; Female: 38-44
                       Rat Terrier     12-18                       Alert, intelligent, energetic, friendly, playful, loyal                                           United States                  Terrier                           4-11                        25-46
                 Redbone Coonhound     12-15                     Friendly, loyal, eager to please, energetic, affectionate                                           United States                    Hound                          20-32   Male: 56-69; Female: 53-66
               Rhodesian Ridgeback     10-12                      Loyal, intelligent, confident, independent, affectionate                                         Southern Africa                    Hound     Male: 36-41; Female: 29-34   Male: 64-69; Female: 61-66
                        Rottweiler      9-10                  Confident, loyal, courageous, calm, protective, affectionate                                       Rottweil, Germany                  Working     Male: 43-61; Female: 36-45   Male: 61-69; Female: 56-64
                       Russian Toy     12-14         Alert, intelligent, loyal, playful, affectionate, energetic, outgoing                                                  Russia                      Toy                          1.4-3                        20-28
                     Saint Bernard      8-10                            Gentle, friendly, calm, patient, loyal, protective                                             Switzerland                  Working     Male: 64-82; Female: 54-64   Male: 71-76; Female: 66-71
                            Saluki     10-17                     Gentle, independent, intelligent, devoted, calm, reserved                          Middle East (Fertile Crescent)                    Hound     Male: 18-29; Female: 16-25                        58-71
                           Samoyed     12-14                      Friendly, gentle, adaptable, alert, intelligent, playful                                                 Siberia                  Working     Male: 20-29; Female: 16-23   Male: 53-60; Female: 48-53
                        Schipperke     12-14                Alert, confident, energetic, intelligent, independent, curious                                                 Belgium             Non-Sporting                          4.5-7                        25-33
                Scottish Deerhound      8-11                                      Gentle, dignified, calm, loyal, friendly                                                Scotland                    Hound     Male: 39-50; Female: 34-43   Male: 76-81; Female: 71-76
                  Scottish Terrier     12-15                             Confident, independent, alert, intelligent, loyal                                                Scotland                  Terrier    Male: 8.5-10; Female: 8-9.5                        25-28
                 Shetland Sheepdog     12-14                   Intelligent, loyal, alert, playful, gentle, eager to please                              Shetland Islands, Scotland                  Herding                           7-11                        33-41
                         Shiba Inu      None                 Alert, confident, intelligent, independent, loyal, courageous                                                   Japan             Non-Sporting        Male: 8-11; Female: 7-9   Male: 37-42; Female: 34-39
                          Shih Tzu     10-18                                        Affectionate, playful, outgoing, loyal                                             Tibet/China                      Toy                            4-7                        23-27
                   Shiloh Shepherd      9-14                     Calm, gentle, intelligent, loyal, confident, affectionate                                 New York, United States                  Herding     Male: 45-59; Female: 36-45   Male: 71-76; Female: 66-71
                    Siberian Husky     12-14        Friendly, outgoing, intelligent, alert, gentle, independent, energetic                                         Siberia, Russia                  Working     Male: 20-27; Female: 16-23   Male: 53-60; Female: 51-56
          Australian Silky Terrier      None                            Friendly, intelligent, alert, energetic, confident                                               Australia                      Toy                          3.5-5                        23-25
                Smooth Fox Terrier     12-15                  Energetic, alert, intelligent, friendly, courageous, playful                                                 England                  Terrier     Male: 8-8.5; Female: 7-7.5   Male: 38-39; Female: 36-38
       Soft Coated Wheaten Terrier     12-15                              Friendly, happy, intelligent, devoted, energetic                                                 Ireland                  Terrier     Male: 16-18; Female: 14-16   Male: 46-48; Female: 43-46
                 Spanish Water Dog     12-14                  Loyal, intelligent, work-focused, athletic, energetic, alert                                                   Spain                  Herding     Male: 18-22; Female: 14-18   Male: 44-50; Female: 40-46
                  Spinone Italiano     10-12                     Gentle, patient, loyal, intelligent, docile, affectionate                                                   Italy                 Sporting     Male: 32-37; Female: 28-32   Male: 58-69; Female: 56-64
        Staffordshire Bull Terrier     12-14            Courageous, intelligent, affectionate, loyal, confident, energetic                                  Staffordshire, England                  Terrier     Male: 13-17; Female: 11-15                        36-41
                Standard Schnauzer      None                     Intelligent, alert, energetic, loyal, protective, devoted                                                 Germany                  Working     Male: 16-23; Female: 14-20   Male: 47-50; Female: 44-47
                  Swedish Vallhund     12-15 Alert, energetic, friendly, intelligent, courageous, playful, eager to please                                                  Sweden                  Herding                           9-16   Male: 32-35; Female: 29-33
                    Thai Ridgeback     12-13                  Intelligent, loyal, independent, protective, athletic, alert                                                Thailand                    Hound     Male: 23-34; Female: 16-25   Male: 56-61; Female: 51-56
                   Tibetan Mastiff     10-12                             Independent, protective, intelligent, loyal, calm                                                   Tibet                  Working     Male: 45-73; Female: 34-54   Male: 66-74; Female: 61-69
                   Tibetan Spaniel     12-15             Intelligent, alert, independent, playful, confident, affectionate                                                   Tibet             Non-Sporting                            4-7                        24-28
                   Tibetan Terrier     12-16                              Affectionate, intelligent, loyal, alert, playful                                                   Tibet             Non-Sporting                           8-14                        36-43
                   Toy Fox Terrier      None             Alert, intelligent, energetic, friendly, playful, loyal, outgoing                                           United States                      Toy                        1.6-3.2                        22-29
          Treeing Walker Coonhound     12-13                Intelligent, confident, friendly, energetic, courageous, alert                                           United States                    Hound                          23-32   Male: 56-69; Female: 51-64
                            Vizsla     12-14                        Energetic, affectionate, gentle, intelligent, athletic                                                 Hungary                 Sporting     Male: 25-27; Female: 20-25   Male: 56-61; Female: 53-58
                        Weimaraner     10-13          Energetic, intelligent, loyal, friendly, alert, courageous, athletic                                         Weimar, Germany                 Sporting     Male: 32-41; Female: 25-34   Male: 64-69; Female: 58-64
            Welsh Springer Spaniel     12-15        Friendly, loyal, energetic, intelligent, affectionate, eager to please                                                   Wales                 Sporting     Male: 18-25; Female: 16-23   Male: 46-48; Female: 43-46
       West Highland White Terrier      None                                 Confident, alert, playful, loyal, independent                                                Scotland                  Terrier        Male: 7-10; Female: 6-7   Male: 25-28; Female: 23-26
                           Whippet     12-15                              Gentle, affectionate, calm, intelligent, playful                                                 England                    Hound                          11-18   Male: 48-56; Female: 46-53
                    White Shepherd     12-14                      Intelligent, loyal, alert, confident, courageous, gentle Germany/Switzerland, developed further in North America                  Herding     Male: 35-40; Female: 25-32   Male: 61-66; Female: 56-61
                  Wire Fox Terrier     12-15                             Alert, confident, energetic, intelligent, playful                                                 England                  Terrier Male: 7.7-8.6; Female: 6.8-7.7   Male: 38-39; Female: 36-39
       Wirehaired Pointing Griffon     12-15                      Friendly, intelligent, eager to please, loyal, energetic                                      Netherlands/France                 Sporting     Male: 23-32; Female: 16-27   Male: 56-61; Female: 51-56
                 Wirehaired Vizsla     12-14                           Energetic, loyal, intelligent, affectionate, gentle                                                 Hungary                 Sporting     Male: 25-29; Female: 20-25   Male: 58-64; Female: 55-58
                    Xoloitzcuintli      None                     Calm, loyal, alert, intelligent, affectionate, protective                                                  Mexico             Non-Sporting                         4.5-25                        25-60
                 Yorkshire Terrier     12-16            Confident, courageous, energetic, affectionate, alert, intelligent                                      Yorkshire, England                      Toy                        1.8-3.2                        18-20
